"ID_matrix_to_relationship";"ID_matrix";"ID_relationship";"relationship_weight"
484;22;564;0.3
485;23;524;1
486;23;270;0.8
487;23;126;-1
488;23;138;-1
489;23;497;0.4
490;23;38;0.5
491;23;57;1
492;23;32;0.4
493;23;524;1
494;23;580;0.8
495;23;581;-1
496;23;584;0.8
497;23;523;0.2
498;23;467;0.8
499;23;468;1
500;23;584;0.8
501;24;92;-0.7
502;24;423;0.7
503;24;422;0.9
504;24;421;0.9
505;24;187;-0.6
506;24;155;-0.6
507;24;293;0.8
508;24;292;0.9
509;24;30;0.7
510;24;538;-1
511;24;537;0.7
512;24;535;0.7
513;24;376;0.8
514;24;374;0.8
515;24;327;-0.8
516;24;326;-0.8
517;24;585;0.5
518;24;582;0.8
519;24;278;-0.9
520;24;289;0.8
521;24;299;0.9
522;24;199;0.3
523;24;197;0.3
524;24;211;0.3
525;24;209;0.3
526;24;256;0.4
527;24;259;0.7
528;25;562;0.8
529;25;499;0.9
530;25;498;0.9
531;25;48;0.8
532;25;48;0.8
533;25;233;0.9
534;25;223;0.6
535;25;234;0.9
536;25;233;0.7
537;25;237;-1
538;25;224;-1
539;25;237;-0.7
540;25;238;-0.8
541;25;536;1
542;25;539;-0.7
543;25;314;-0.6
544;25;310;0.7
545;25;311;0.8
546;25;315;0.5
547;25;316;0.5
548;25;303;0.6
549;25;310;0.3
550;25;586;0.5
551;25;312;0.6
552;25;587;-0.7
553;25;588;0.5
554;26;589;0.8
555;26;192;-1
556;26;593;1
557;26;291;1
558;26;25;0.8
559;26;21;1
560;26;32;1
561;26;113;0.9
562;26;114;0.8
563;26;105;-0.9
564;26;356;0.9
565;26;357;0.8
566;26;349;-0.9
567;26;549;0.7
568;26;544;0.7
569;26;545;0.7
570;26;550;0.7
571;26;590;0.5
572;26;23;-1
573;26;16;1
574;27;583;-0.5
575;27;252;-0.5
576;27;339;0.7
577;27;182;1
578;27;168;0.7
579;27;183;0.7
580;27;144;1
581;27;258;-0.6
582;27;279;0.6
583;27;140;0.6
584;27;147;0.8
585;27;595;1
586;27;527;-0.8
587;27;203;1
588;27;215;1
589;27;112;1
590;28;591;-0.7
591;28;596;-0.4
592;28;500;0.8
593;28;66;0.8
594;28;598;0.4
595;28;15;0.5
596;28;14;-0.5
597;28;304;1
598;28;309;1
599;28;317;1
600;28;318;1
601;28;271;0.8
602;28;601;-0.8
603;28;602;0.8
604;28;604;-1
605;28;605;-0.9
606;28;123;0.9
607;28;366;0.9
608;28;577;0.9
609;28;416;0.9
610;29;606;-1
611;29;325;1
612;29;608;-1
613;29;609;-1
614;29;610;-0.2
615;29;612;-0.7
616;29;613;-0.8
617;29;611;-1
618;29;607;-0.5
619;29;592;0.9
620;29;319;0.6
621;29;434;1
622;29;614;1
623;30;7;0.8
624;30;104;-0.9
625;30;615;0.3
626;30;405;0.5
627;30;294;0.6
628;30;44;0.6
629;30;29;-0.5
630;30;33;-0.7
631;30;40;-0.1
632;30;195;-0.6
633;30;194;-0.4
634;30;603;0.4
635;30;143;0.7
636;30;470;0.3
637;30;616;-0.7
638;30;617;0.8
639;30;435;0.4
640;30;435;0.5
641;30;298;0.5
642;30;299;0.8
643;30;390;-0.6
644;30;486;0.9
645;30;269;0.7
646;30;288;-0.7
647;31;499;1
648;31;500;0.8
649;31;499;0.9
650;31;173;0.7
651;31;184;0.9
652;31;165;0.1
653;31;236;0.7
654;31;236;0.8
655;31;151;0.9
656;31;305;0.9
657;31;487;0.6
658;31;488;-0.3
659;31;619;-0.4
660;32;265;1
661;32;286;-1
662;32;142;0.9
663;32;150;1
664;32;149;0.9
665;32;124;-0.3
666;32;125;0.3
667;32;112;1
668;32;101;1
669;32;116;-0.9
670;32;106;1
671;32;122;1
672;32;100;-1
673;32;118;0.9
674;32;367;-0.3
675;32;368;0.3
676;32;355;1
677;32;347;1
678;32;358;-0.9
679;32;350;1
680;32;365;1
681;32;346;-1
682;32;361;0.9
683;32;578;-0.3
684;32;579;0.3
685;32;571;1
686;32;568;1
687;32;573;-0.9
688;32;569;1
689;32;576;1
690;32;567;-1
691;32;574;0.9
692;32;417;-0.3
693;32;418;0.3
